"Time","Output.Value","Input.Vd"
0,0.0269762282840022,1
0.037,0.0419546517594368,1
0.0740000000000001,0.0567492180147822,1
0.111,0.071326125054182,1
0.148,0.0856802606881948,1
0.185,0.0998131075437551,1
0.222,0.113727632594301,1
0.259,0.127427105618735,1
0.296,0.140914826508771,1
0.333,0.154194062805671,1
0.37,0.167268035858673,1
0.407,0.180139918221439,1
0.444,0.192812833638871,1
0.481,0.205289857624047,1
0.518,0.217574018162697,1
0.555,0.229668296438358,1
0.592,0.241575627553619,1
0.629,0.253298901241909,1
0.666,0.264840962568674,1
0.703000000000001,0.276204612621802,1
0.740000000000001,0.287392609191401,1
0.777000000000001,0.298407667439071,1
0.814000000000001,0.309252460556837,1
0.851000000000001,0.319929620415889,1
0.887999999999997,0.3304417382053,1
0.924999999999992,0.340791365060871,1
0.961999999999988,0.350981012684247,1
0.998999999999984,0.361013153952482,1
1.03599999999998,0.370890223518157,1
1.07299999999998,0.380614618400245,1
1.10999999999997,0.390188698565822,1
1.14699999999997,0.399614787502804,1
1.18399999999996,0.408895172783824,1
1.22099999999996,0.418032106621382,1
1.25799999999996,0.427027806414435,1
1.29499999999995,0.435884455286521,1
1.33199999999995,0.444604202615572,1
1.36899999999994,0.453189164555539,1
1.40599999999994,0.461641424549944,1
1.44299999999994,0.46996303383751,1
1.47999999999993,0.478156011949961,1
1.51699999999993,0.486222347202134,1
1.55399999999992,0.494163997174512,1
1.59099999999992,0.501982889188303,1
1.62799999999992,0.50968092077317,1
1.66499999999991,0.517259960127735,1
1.70199999999991,0.524721846572961,1
1.7389999999999,0.532068390998529,1
1.7759999999999,0.539301376302316,1
1.81299999999989,0.546422557823078,1
1.84999999999989,0.55343366376644,1
1.88699999999989,0.560336395624312,1
1.92399999999988,0.56713242858781,1
1.96099999999988,0.573823411953808,1
1.99799999999987,0.580410969525192,1
2.03499999999987,0.586896700004931,1
2.07199999999987,0.593282177384068,1
2.10899999999986,0.599568951323694,1
2.14599999999986,0.605758547531034,1
2.18299999999985,0.61185246812971,1
2.21999999999985,0.617852192024291,1
2.25699999999985,0.623759175259192,1
2.29399999999984,0.62957485137204,1
2.33099999999984,0.635300631741574,1
2.36799999999983,0.64093790593016,1
2.40499999999983,0.646488042021021,1
2.44199999999983,0.651952386950251,1
2.47899999999982,0.657332266833697,1
2.51599999999982,0.662628987288783,1
2.55299999999981,0.667843833751369,1
2.58999999999981,0.672978071787707,1
2.62699999999981,0.678032947401572,1
2.6639999999998,0.68300968733665,1
2.7009999999998,0.687909499374255,1
2.73799999999979,0.692733572626433,1
2.77499999999979,0.697483077824545,1
2.81199999999978,0.702159167603388,1
2.84899999999978,0.706762976780917,1
2.88599999999978,0.711295622633655,1
2.92299999999977,0.715758205167837,1
2.95999999999977,0.720151807386362,1
2.99699999999976,0.724477495551629,1
3.03399999999976,0.728736319444295,1
3.07099999999976,0.732929312618048,1
3.10799999999975,0.737057492650428,1
3.14499999999975,0.741121861389789,1
3.18199999999974,0.745123405198421,1
3.21899999999974,0.749063095191932,1
3.25599999999974,0.752941887474923,1
3.29299999999973,0.756760723373019,1
3.32999999999973,0.760520529661316,1
3.36699999999972,0.764222218789296,1
3.40399999999972,0.76786668910226,1
3.44099999999972,0.771454825059355,1
3.47799999999971,0.774987497448205,1
3.51499999999971,0.778465563596245,1
3.5519999999997,0.781889867578784,1
3.5889999999997,0.785261240423848,1
3.6259999999997,0.788580500313853,1
3.66299999999969,0.791848452784173,1
3.69999999999969,0.795065890918631,1
3.73699999999968,0.798233595541961,1
3.77399999999968,0.801352335409314,1
3.81099999999967,0.80442286739281,1
3.84799999999967,0.807445936665236,1
3.88499999999968,0.810422276880873,1
3.92199999999969,0.813352610353554,1
3.95899999999971,0.816237648231952,1
3.99599999999972,0.81907809067217,1
4.03299999999973,0.821874627007654,1
4.06999999999974,0.824627935916489,1
4.10699999999976,0.827338685586099,1
4.14399999999977,0.830007533875411,1
4.18099999999978,0.832635128474506,1
4.21799999999979,0.835222107061802,1
4.25499999999981,0.837769097458811,1
4.29199999999982,0.840276717782503,1
4.32899999999983,0.84274557659531,1
4.36599999999984,0.84517627305282,1
4.40299999999985,0.847569397049178,1
4.43999999999987,0.849925529360248,1
4.47699999999988,0.85224524178456,1
4.51399999999989,0.854529097282074,1
4.5509999999999,0.856777650110803,1
4.58799999999992,0.858991445961324,1
4.62499999999993,0.861171022089208,1
4.66199999999994,0.863316907445403,1
4.69899999999995,0.865429622804606,1
4.73599999999997,0.867509680891648,1
4.77299999999998,0.869557586505916,1
4.80999999999999,0.87157383664387,1
4.847,0.873558920619655,1
4.88400000000002,0.875513320183845,1
4.92100000000003,0.877437509640364,1
4.95800000000004,0.879331955961585,1
4.99500000000005,0.881197118901661,1
5.03200000000006,0.883033451108107,1
5.06900000000008,0.884841398231636,1
5.10600000000009,0.886621399034327,1
5.1430000000001,0.888373885496096,1
5.18000000000011,0.890099282919536,1
5.21700000000013,0.89179801003313,1
5.25400000000014,0.89347047909287,1
5.29100000000015,0.895117095982307,1
5.32800000000016,0.896738260311052,1
5.36500000000018,0.898334365511752,1
5.40200000000019,0.899905798935579,1
5.4390000000002,0.901452941946226,1
5.47600000000021,0.90297617001246,1
5.51300000000023,0.904475852799247,1
5.55000000000024,0.90595235425746,1
5.58700000000025,0.907406032712205,1
5.62400000000026,0.908837240949781,1
5.66100000000027,0.910246326303302,1
5.69800000000029,0.91163363073698,1
5.7350000000003,0.91299949092912,1
5.77200000000031,0.914344238353827,1
5.80900000000032,0.915668199361449,1
